,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12,Cluster Number
0,3,1,3,3,4,4,3,4,4,1,2,2,3
6,2,1,1,2,2,2,5,6,4,1,2,1,3
15,4,2,2,2,2,2,5,3,2,2,2,2,3
20,5,3,2,1,1,2,4,5,4,2,2,2,3
24,3,1,2,3,2,2,4,5,3,2,1,2,3
26,2,2,2,2,2,2,5,4,4,4,1,2,3
32,4,3,2,3,2,2,4,4,4,2,2,2,3
33,5,1,1,2,2,2,6,4,6,1,1,1,3
34,4,2,3,3,2,3,4,3,4,2,2,3,3
37,2,4,2,2,2,2,6,4,4,3,2,2,3
38,3,3,2,4,4,3,4,3,4,2,2,2,3
42,2,1,2,2,2,2,5,4,4,1,2,3,3
47,2,2,3,4,4,2,3,4,4,2,2,4,3
48,4,3,2,3,3,3,6,4,5,2,2,2,3
49,5,2,2,2,1,1,4,5,4,5,2,2,3
50,2,2,2,4,4,5,7,4,4,2,2,3,3
54,2,2,1,2,2,2,5,4,4,3,1,2,3
55,2,2,2,3,2,2,4,6,4,4,2,2,3
64,4,2,2,5,4,3,4,2,5,2,2,2,3
67,4,3,3,2,3,4,4,6,4,1,2,3,3
74,4,2,2,3,2,2,3,4,4,4,2,2,3
75,2,4,2,4,2,3,4,4,3,2,2,2,3
